Equipo,MetaEquipo,Tabla,Link
Manchester City,Manchester_City,scores_and_fixtures,https://fbref.com/en/squads/b8fd03ef/2024-2025/Manchester-City-Stat
Manchester City,Manchester_City,scores_and_fixtures,https://fbref.com/en/squads/b8fd03ef/2023-2024/Manchester-City-Stat
Manchester City,Manchester_City,scores_and_fixtures,https://fbref.com/en/squads/b8fd03ef/2022-2023/Manchester-City-Stat
Manchester City,Manchester_City,scores_and_fixtures,https://fbref.com/en/squads/b8fd03ef/2021-2022/Manchester-City-Stat
Manchester City,Manchester_City,scores_and_fixtures,https://fbref.com/en/squads/b8fd03ef/2020-2021/Manchester-City-Stat
Manchester City,Manchester_City,scores_and_fixtures,https://fbref.com/en/squads/b8fd03ef/2019-2020/Manchester-City-Stat
Manchester City,Manchester_City,scores_and_fixtures,https://fbref.com/en/squads/b8fd03ef/2018-2019/Manchester-City-Stat
Manchester City,Manchester_City,scores_and_fixtures,https://fbref.com/en/squads/b8fd03ef/2017-2018/Manchester-City-Stat
Manchester City,Manchester_City,scores_and_fixtures,https://fbref.com/en/squads/b8fd03ef/2016-2017/Manchester-City-Stat
Manchester City,Manchester_City,scores_and_fixtures,https://fbref.com/en/squads/b8fd03ef/2015-2016/Manchester-City-Stat
Manchester City,Manchester_City,scores_and_fixtures,https://fbref.com/en/squads/b8fd03ef/2014-2015/Manchester-City-Stat
Liverpool,Liverpool,scores_and_fixtures,https://fbref.com/en/squads/822bd0ba/2024-2025/Liverpool-Stats
Liverpool,Liverpool,scores_and_fixtures,https://fbref.com/en/squads/822bd0ba/2023-2024/Liverpool-Stats
Liverpool,Liverpool,scores_and_fixtures,https://fbref.com/en/squads/822bd0ba/2022-2023/Liverpool-Stats
Liverpool,Liverpool,scores_and_fixtures,https://fbref.com/en/squads/822bd0ba/2021-2022/Liverpool-Stats
Liverpool,Liverpool,scores_and_fixtures,https://fbref.com/en/squads/822bd0ba/2020-2021/Liverpool-Stats
Liverpool,Liverpool,scores_and_fixtures,https://fbref.com/en/squads/822bd0ba/2019-2020/Liverpool-Stats
Liverpool,Liverpool,scores_and_fixtures,https://fbref.com/en/squads/822bd0ba/2018-2019/Liverpool-Stats
Liverpool,Liverpool,scores_and_fixtures,https://fbref.com/en/squads/822bd0ba/2017-2018/Liverpool-Stats
Liverpool,Liverpool,scores_and_fixtures,https://fbref.com/en/squads/822bd0ba/2016-2017/Liverpool-Stats
Liverpool,Liverpool,scores_and_fixtures,https://fbref.com/en/squads/822bd0ba/2015-2016/Liverpool-Stats
Liverpool,Liverpool,scores_and_fixtures,https://fbref.com/en/squads/822bd0ba/2014-2015/Liverpool-Stats
Aston Villa,Aston_Villa,scores_and_fixtures,https://fbref.com/en/squads/8602292d/2024-2025/Aston-Villa-Stats
Aston Villa,Aston_Villa,scores_and_fixtures,https://fbref.com/en/squads/8602292d/2023-2024/Aston-Villa-Stats
Aston Villa,Aston_Villa,scores_and_fixtures,https://fbref.com/en/squads/8602292d/2022-2023/Aston-Villa-Stats
Aston Villa,Aston_Villa,scores_and_fixtures,https://fbref.com/en/squads/8602292d/2021-2022/Aston-Villa-Stats
Aston Villa,Aston_Villa,scores_and_fixtures,https://fbref.com/en/squads/8602292d/2020-2021/Aston-Villa-Stats
Aston Villa,Aston_Villa,scores_and_fixtures,https://fbref.com/en/squads/8602292d/2019-2020/Aston-Villa-Stats
Aston Villa,Aston_Villa,scores_and_fixtures,https://fbref.com/en/squads/8602292d/2018-2019/Aston-Villa-Stats
Aston Villa,Aston_Villa,scores_and_fixtures,https://fbref.com/en/squads/8602292d/2017-2018/Aston-Villa-Stats
Aston Villa,Aston_Villa,scores_and_fixtures,https://fbref.com/en/squads/8602292d/2016-2017/Aston-Villa-Stats
Aston Villa,Aston_Villa,scores_and_fixtures,https://fbref.com/en/squads/8602292d/2015-2016/Aston-Villa-Stats
